date,resort algarve,algarve hotel,algarve tourism,algarve vacation
2016-05-08,0,49,0,0
2016-05-09,0,43,0,0
2016-05-10,0,40,0,0
2016-05-11,0,57,0,0
2016-05-12,0,52,0,0
2016-05-13,0,36,0,0
2016-05-14,0,0,0,0
2016-05-15,0,49,0,0
2016-05-16,0,59,0,0
2016-05-17,0,82,0,0
2016-05-18,0,35,0,0
2016-05-19,0,56,0,0
2016-05-20,0,76,0,0
2016-05-21,0,53,0,0
2016-05-22,0,87,0,0
2016-05-23,0,77,0,0
2016-05-24,0,67,0,0
2016-05-25,0,71,0,0
2016-05-26,0,72,0,0
2016-05-27,0,65,0,0
2016-05-28,0,42,0,0
2016-05-29,0,62,0,0
2016-05-30,0,86,0,0
2016-05-31,0,37,0,0
2016-06-01,0,72,0,0
2016-06-02,0,90,0,0
2016-06-03,0,56,0,0
2016-06-04,0,89,0,0
2016-06-05,0,82,0,0
2016-06-06,0,74,0,0
2016-06-07,0,80,0,0
2016-06-08,0,56,0,0
2016-06-09,0,65,0,0
2016-06-10,0,91,0,0
2016-06-11,0,79,0,0
2016-06-12,0,83,0,0
2016-06-13,0,96,0,0
2016-06-14,0,67,0,0
2016-06-15,0,63,0,0
2016-06-16,36,100,0,0
2016-06-17,0,66,0,0
2016-06-18,0,74,0,0
2016-06-19,0,95,0,0
2016-06-20,0,87,0,0
2016-06-21,0,90,48,0
2016-06-22,0,86,0,0
2016-06-23,0,69,0,0
2016-06-24,0,57,0,0
2016-08-25,0,57,0,0
2016-08-26,0,47,0,0
2016-08-27,0,57,0,0
2016-08-28,0,65,38,0
2016-08-29,0,45,0,0
2016-08-30,0,64,0,0
2016-08-31,0,94,0,0
2016-09-01,0,0,0,0
2016-09-02,0,47,0,0
2016-09-03,0,80,0,0
